NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,smiles
,,,,,,,1,,0,,,COC(=O)/C=C\C(=O)OC
,,,,,,,0,,0,,,COC(=O)C1:C:C:C:N:C:1
,,,,,,,0,,0,,,COCCOCC(OC)OC
,,,,,,,0,,0,,,COC1:C:C(/C=C/C(N)=O):C:C(OC):C:1OC
,,,,,,,0,,0,,,COC1:C:C(C(=O)NCCCCCC(=O)O):C:C(OC):C:1OC
,,,,,,,1,,0,,,CCC(COC(=O)C1:C:C(OC):C(OC):C(OC):C:1)(C1:C:C:C:C:C:1)N(C)C.O=C(O)/C=C\C(=O)O
,,,,,,,0,,0,,,COC1:C:C(CC#N):C:C(OC):C:1OC
,,,,,,,0,,0,,,COC1:C:C:C2:C(:C:1OC)CN1CCC3:C:C4:C(:C:C:3C1C2)OCO4
,,,,,,,0,,0,,,COC1:C:C(OC):C:C(OC):C:1
,,,,,,,0,,0,,,COC1:C:C(C(=O)N2CCCCCCC2):C:C(OC):C:1OC
,,,,,,,0,,0,,,CCC(CC)(CNC(=O)CCCO)C1:C:C:C:C(OC):C:1
,,,,,,,0,,0,,,COC1:C:C:C(/C(C)=C/C(=O)O):C(OC):C:1
,,,,,,,0,,0,,,COC(=O)C1:C:C:C(NC(C)=O):C:C:1OC
,,,,,,,0,,0,,,COC1:C:C2:C(:C:C:1OC)C(=O)CC2
,,,,,,,0,,0,,,C=C[C@H]1CN2CCC1C[C@@H]2[C@@H](O)C1:C:C:N:C2:C:C:C(OC):C:C:1:2
,,,,,,,0,,0,,,COC1:C:C2:[NH]:C(=O):[NH]:C(=O):C:2:C:C:1OC
,,,,,,,0,,0,,,COC1:C:C:C2:C(:C:1):C1:C3:N:2CCN(C)C3=NCC1
,,,,,,,0,,0,,,CCCCC(CC)COC(=O)C=CC1:C:C:C(OC):C:C:1
,,,,,,,0,,0,,,CC=CC1:C:C:C(OC):C:C:1
,,,,,,,0,,0,,,COC1:C:C:C(C(=O)CC(=O)C2:C:C:C(C(C)(C)C):C:C:2):C:C:1
,,,,,,,0,,0,,,CCCCN(CCCC)C(C(N)=O)C1:C:C:C(OC):C:C:1
,,,,,,,1,,1,,,COC1:C:C:C(C2:C:C(=S):S:S:2):C:C:1
,,,,,,,0,,0,,,COC1:C:C:C(C2C(=O)C3:C:C:C:C:C:3C2=O):C:C:1
,,,,,,,0,,0,,,COC1:C:C:C(CN(CCN(C)C)C2:C:C:C:C:N:2):C:C:1
,,,,,,,0,,0,,,CCN1:C(=O):C2:C(:N:C(/C=C/C3:C:C:C(OC):C(OC):C:3):N:2C):N(CC):C:1=O
,,,,,,,0,,0,,,COC1:C:C:C(CCC(C)=O):C:C:1
,,,,,,,0,,0,,,COC1:C:C:C(Cl):C:C:1C(=O)NCCC1:C:C:C(S(N)(=O)=O):C:C:1
,,,,,,,0,,0,,,COC(=O)C1:C:C(Cl):C:C:C:1OC
,,,,,,,1,,0,,,COC1:C:C:C:C(N(C)C(=S)OC2:C:C:C3:C(:C:2)CCCC3):N:1
,,,,,,,0,,0,,,CNC(C)CC1:C:C:C:C:C:1OC
,,,,,,,0,,0,,,COC1:C:C:C(C2CNC(=O)C2):C:C:1OC1CCCC1
,,,,,,,0,,0,,,COC1:C:C:C2:C(:C:1)CCCC2=O
,,,,,,,0,,0,,,COC1:C:C:C:C:C:1OC(=O)OC1:C:C:C:C:C:1OC
,,,,,,,0,,0,,,CNCCC(OC1:C:C:C:C:C:1OC)C1:C:C:C:C:C:1
,,,,,,,0,,0,,,COC1:C:C:C:C:C:1OCC1CNC(=O)O1
,,,,,,,0,,0,,,COC1:N:C(C):N:C(Cl):C:1NC1=NCCN1
,,,,,,,0,,0,,,COC1:C:C(NS(=O)(=O)C2:C:C:C(N):C:C:2):N:C(OC):N:1
,,,,,,,0,,0,,,COC1:N:C:C:N:C:1NS(=O)(=O)C1:C:C:C(N):C:C:1
,,,,,,,1,,0,,,COC1:C:C:N:C(CS(=O)C2:N:C3:C:C(OC(F)F):C:C:C:3:[NH]:2):C:1OC
,,,,,,,0,,0,,,COC1:C:C:C2:C(:C:1OC)C(=O)O[C@@H]2[C@H]1C2:C(:C:C3:C(:C:2OC)OCO3)CCN1C
,,,,,,,1,,0,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4:C:C(OC):C:C:C:4[C@H]3CC[C@@]21C
,,,,,,,0,,0,,,CCC(=O)O[C@]1(C(=O)COC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3(F)[C@@H](O)C[C@@]21C
,,,,,,,0,,0,,,COCCC1:C:C:C:C:N:1
,,,,,,,0,,0,,,COCCC1:C:C:C(OCC2CO2):C:C:1
,,,,,,,0,,0,,,COCCCN1CCC(NC(=O)C2:C:C(Cl):C(N):C3:C:2OCC3)CC1
,,,,,,,0,,0,,,CCC1(C2:C:C:C:C:C:2)C(=O)N(COC)C(=O)N(COC)C1=O
,,,,,,,0,,0,,,COP(=S)(OC)OC1:C:C:C(SC2:C:C:C(OP(=S)(OC)OC):C:C:2):C:C:1
,,,,,,,0,,0,,,COP(=S)(OC)SCN1C(=O)C2:C:C:C:C:C:2C1=O
,,,,,,,0,,0,,,CC1:C:C:C(C2:N:C:C(Cl):C:C:2C2:C:C:C(S(C)(=O)=O):C:C:2):C:N:1
,,,,,,,0,,0,,,CN(CCOC1:C:C:C(NS(C)(=O)=O):C:C:1)CCC1:C:C:C(NS(C)(=O)=O):C:C:1
,,,,,,,0,,0,,,C#CCN[C@@H]1CCC2:C:C:C:C:C:21.CS(=O)(=O)O
,,,,,,,0,,0,,,CC1:C:C:C2:C(:C:1):C1:C3:N:2CCNC3CCC1.CS(=O)(=O)O
,,,,,,,0,,0,,,CCOC1:C:C:C:C:C:1O[C@H](C1:C:C:C:C:C:1)[C@H]1CNCCO1.CS(=O)(=O)O
,,,,,,,1,,0,,,C=CCNC1:N:C(NCC=C):N:C(N2CCN(C(C3:C:C:C(F):C:C:3)C3:C:C:C(F):C:C:3)CC2):N:1.CS(=O)(=O)O.CS(=O)(=O)O
,,,,,,,0,,0,,,CCCN1C[C@H](CSC)C[C@@H]2C3:C:C:C:C4:[NH]:C:C(:C:3:4)C[C@H]21.CS(=O)(=O)O
,,,,,,,0,,0,,,CS(=O)(=O)O.O=C1CC2(CCCC2)CC(=O)N1CCNCC1COC2:C:C:C:C:C:2O1
,,,,,,,0,,0,,,CN1CCCCC1CCN1C2:C:C:C:C:C:2SC2:C:C:C(S(C)=O):C:C:21
,,,,,,,0,,0,,,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br
,,,,,,,0,,0,,,O=C(OCCOCCO)C1:C:C:C:C:C:1NC1:C:C:C:C(C(F)(F)F):C:1
,,,,,,,1,,0,,,O=C(OCCN1CCOCC1)C1:C:C:C:N:C:1NC1:C:C:C:C(C(F)(F)F):C:1
,,,,,,,1,,0,,,CC1(C)NC(=O)N(C2:C:C:C([N+](=O)[O-]):C(C(F)(F)F):C:2)C1=O
,,,,,,,0,,0,,,NS(=O)(=O)C1:C:C2:C(:C:C:1C(F)(F)F)NC(CC1:C:C:C:C:C:1)NS2(=O)=O
,,,,,,,0,,0,,,O=C(NCC1CCCCN1)C1:C:C(OCC(F)(F)F):C:C:C:1OCC(F)(F)F
,,,,,,,1,,0,,,CC1:C(OCC(F)(F)F):C:C:N:C:1CS(=O)C1:N:C2:C:C:C:C:C:2:[NH]:1
,,,,,,,0,,0,,,NC1:N:C2:C:C:C(OC(F)(F)F):C:C:2:S:1
0,,,1,,,,1,,,,,CCCCCCCCCCCCCCCCN1:C:C:[N+](C):C:1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
,,,,,,,0,,0,,,COC1:C:C(C2:C:C:C(=O):[NH]:N:2):C:C:C:1OC(F)F
,,,,,,,0,,0,,,O=C1:[NH]:C(=O):N(C2CCCO2):C:C:1F
,,,,,,,0,,0,,,NC1:N:C(=O):[NH]:C:C:1F
,,,,,,,0,,0,,,O=C1:[NH]:C:C(F):C(=O):[NH]:1
,,,,,,,0,,0,,,O=C(C1:C:C:C(F):C:C:1)C1CCN(CCN2:C(=O):[NH]:C3:C:C:C:C:C:3:C:2=O)CC1
,,,,,,,0,,0,,,O=C(CCCN1CC=C(N2:C(=O):[NH]:C3:C:C:C:C:C:3:2)CC1)C1:C:C:C(F):C:C:1
,,,,,,,0,,0,,,N#CC1(C2:C:C:C(F):C:C:2)CCC(=O)CC1
,,,,,,,0,,0,,,O=C1NC(=O)[C@@]2(CCOC3:C:C:C(F):C:C:32)N1
,,,,,,,0,,0,,,C#CC1:C:C:C(C2:C:C:C:C:C:2F):C:C:1
,,,,,,,0,,0,,,NC1:N:C:N:C2:C:1:N:C:N:2CC1:C(F):C:C:C:C:1Cl
,,,,,,,0,,0,,,CCN(CC)CCN1C(=O)CN=C(C2:C:C:C:C:C:2F)C2:C:C(Cl):C:C:C:21
,,,,,,,0,,0,,,NC1:N:C(=O):N([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F):C:C:1I
,,,,,,,0,,0,,,O=C1:[NH]:C(=O):N([C@H]2C[C@H](O)[C@@H](CO)O2):C:C:1I
,,,,,,,0,,0,,,N[C@@H](CC1:C:C(I):C(O):C(I):C:1)C(=O)O
,,,,,,,0,,0,,,NC1:C(I):C:C(I):C(C(=O)N(CCC(=O)O)C2:C:C:C:C:C:2):C:1I
,,,,,,,0,,0,,,N[C@@H](CC1:C:C:C(OC2:C:C(I):C(O):C(I):C:2):C(I):C:1)C(=O)O
,,,,,,,0,,0,,,CC1:C:C(OI):C(C(C)C):C:C:1C1:C:C(C(C)C):C(OI):C:C:1C
,,,,,,,0,,0,,,CN/C(=N\C#N)NCCSCC1:N:C:[NH]:C:1C
,,,,,,,0,,0,,,CC(C)NCC(O)C1:C:C:C(N):C(C#N):C:1
,,,,,,,0,,0,,,CN/C(=N\C1:C:C:C(C2=NNC(=O)CC2C):C:C:1)NC#N
,,,,,,,0,,0,,,NC(N)=NC1:N:C(CSCC/C(N)=N\S(N)(=O)=O):C:S:1
,,,,,,,0,,0,,,CN/C(=N\C#N)NCCSCC1:C:S:C(N=C(N)N):N:1
,,,,,,,0,,0,,,N[C@H](C(=O)O)C1:C:C:C(O):C:C:1
,,,,,,,0,,0,,,COC(=O)[C@@H](N)CCCN/C(N)=N/[N+](=O)[O-]
,,,,,,,0,,0,,,N=C(N)NCCC[C@H](N)C(=O)O
,,,,,,,0,,0,,,CCCCCCCCCCCCCCC[C@H](O)[C@@H](N)CO
,,,,,,,0,,0,,,N[C@@H]1CONC1=O
,,,,,,,0,,0,,,CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@H]2O)OC[C@@]1(C)O
,,,,,,,0,,0,,,CN1CC(=O)NC1=N
,,,,,,,0,,0,,,C1:C:C:C2:[NH]:C(C3:C:S:C:N:3):N:C:2:C:1
,,,,,,,0,,0,,,N=C(N)N.N=C(N)N.O=C(O)O
,,,,,,,1,,0,,,CCCCNC(=N)NC(=N)N
,,,,,,,0,,0,,,N=C(N)NN.N=C(N)NN.O=S(=O)(O)O
,,,,,,,0,,0,,,N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC2:C:[NH]:C3:C:C:C:C:C:2:3)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O
,,,,,,,0,,0,,,CSCC[C@H](NC(=O)[C@H](CC1:C:[NH]:C2:C:C:C:C:C:1:2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC1:C:C:C:C:C:1)C(N)=O
,,,,,,,0,,0,,,COC1:C:C:C(S(=O)(=O)N2C3:C:C:C(Cl):C:C:3[C@@](O)(C3:C:C:C:C:C:3Cl)[C@H]2C(=O)N2CCC[C@@H]2C(N)=O):C:C:1OC
,,,,,,,1,,0,,,CCCCCCOC1:C:C:C:C:C:1C(N)=O
,,,,,,,0,,0,,,NC(=O)C1:C:C:C:N:C:1
,,,,,,,0,,0,,,NC(=O)C1:C:N:C:C:N:1
,,,,,,,0,,0,,,NC(=O)C1:N:C:N([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O):N:1
,,,,,,,0,,0,,,CN1:N:N:C2:C(C(N)=O):N:C:N:2:C:1=O
,,,,,,,0,,0,,,NC(=O)C1:C:N(CC2:C(F):C:C:C:C:2F):N:N:1
,,,,,,,0,,0,,,NC(=O)C1:N:C:N([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O):C:1N
,,,,,,,0,,0,,,NC(=O)C1:N:C:N([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O):C:1O
,,,,,,,0,,0,,,CC(C)NCCCC1(C(N)=O)C2:C:C:C:C:C:2C2:C:C:C:C:C:21
,,,,,,,1,,0,,,NC(=O)C1:C:C:[N+](CC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)CC4:C:C:C:S:4)[C@H]3SC2):C:C:1
,,,,,,,0,,0,,,NC(=O)CCCCC1CCSS1
,,,,,,,0,,0,,,CC(C1:C:C2:C:C:C:C:C:2:S:1)N(O)C(N)=O
,,,,,,,0,,0,,,NC(=O)N1C2:C:C:C:C:C:2C=CC2:C:C:C:C:C:21
,,,,,,,0,,0,,,NC(=O)N1C2:C:C:C:C:C:2CC(=O)C2:C:C:C:C:C:21
,,,,,,,0,,0,,,NC(=O)NNC1:C:C:C:C:C:1
,,,,,,,0,,0,,,NC(=O)NO
,,,,,,,0,,0,,,CCOC(N)=O
,,,,,,,0,,0,,,NC(=O)OCC(COC(N)=O)C1:C:C:C:C:C:1
,,,,,,,0,,0,,,COC1:C:C:C:C:C:1OCC(O)COC(N)=O
,,,,,,,0,,0,,,NC(=O)OCCCC1:C:C:C:C:C:1
,,,,,,,0,,0,,,NC(=S)N/N=C/C1:C:C:C:N:C:1
,,,,,,,0,,0,,,C=CCNC(N)=S
,,,,,,,0,,0,,,CCCCCC(C)N.CCCCCC(C)N.O=S(=O)(O)O
,,,,,,,0,,0,,,NC/C=C/C(=O)O
,,,,,,,0,,0,,,C[C@H]1COC2:C(C3(N)CC3):C(F):C:C3:C(=O):C(C(=O)O):C:N1:C:2:3
,,,,,,,0,,0,,,NC1:C:C(=O):N:C(N):[NH]:1
,,,,,,,0,,0,,,NC1=NC(=O)C(C2:C:C:C:C:C:2)O1
,,,,,,,0,,0,,,NC1:C:C:N([C@H]2CC[C@@H](CO)O2):C(=O):N:1
,,,,,,,0,,0,,,NC1:N:C:N([C@H]2C[C@H](O)[C@@H](CO)O2):C(=O):N:1
,,,,,,,0,,0,,,NC12CC3CC(CC(C3)C1)C2
,,,,,,,0,,0,,,NC(=O)CC1:C:C:C:C(C(=O)C2:C:C:C:C:C:2):C:1N
,,,,,,,0,,0,,,NC1:C2:C(:N:C3:C:C:C:C:C:1:3)CCCC2
,,,,,,,0,,0,,,NC1:C:C(C(Cl)=C(Cl)Cl):C(S(N)(=O)=O):C:C:1S(N)(=O)=O
,,,,,,,0,,0,,,CCOC(=O)C1:C:C:C:C(N):C:1.CS(=O)(=O)O
,,,,,,,0,,0,,,NC1:C:C(N2CCCCC2):N:C(N):[N+]:1[O-]
,,,,,,,0,,0,,,CCN(CC)CCNC(=O)C1:C:C(Br):C(N):C:C:1OC
,,,,,,,0,,0,,,CCN(CC)CCNC(=O)C1:C:C(Cl):C(N):C:C:1OC
,,,,,,,0,,0,,,NC1:C:C:C(C(=O)N2CC3CC(CN(CC4:C:C:C:C:C:4)C3)C2):C:C:1
,,,,,,,0,,0,,,CCOC(=O)C1:C:C:C(N):C:C:1
,,,,,,,0,,0,,,CC(C)COC(=O)C1:C:C:C(N):C:C:1
,,,,,,,0,,0,,,NC1:C:C:C(C(=O)OCC(O)CO):C:C:1
,,,,,,,0,,0,,,CCCOC(=O)C1:C:C:C(N):C:C:1
,,,,,,,0,,0,,,CCCCOC(=O)C1:C:C:C(N):C:C:1
,,,,,,,0,,0,,,CCCCN(CCCC)CCCOC(=O)C1:C:C:C(N):C:C:1
,,,,,,,0,,0,,,N=C(N)NS(=O)(=O)C1:C:C:C(N):C:C:1
,,,,,,,0,,0,,,NC1:C:C:C(S(=O)(=O)NC(=O)C2:C:C:C:C:C:2):C:C:1
,,,,,,,0,,0,,,CCCCNC(=O)NS(=O)(=O)C1:C:C:C(N):C:C:1
,,,,,,,0,,0,,,CC(=O)NS(=O)(=O)C1:C:C:C(N):C:C:1
,,,,,,,0,,0,,,NC(=O)NS(=O)(=O)C1:C:C:C(N):C:C:1
,,,,,,,0,,0,,,NC1:C:C:C(S(=O)(=O)NC2:C:C:C:C:C:2):C:C:1
,,,,,,,0,,0,,,NC1:C:C:C(S(=O)(=O)NC2:C:C:N:N:2C2:C:C:C:C:C:2):C:C:1
,,,,,,,0,,0,,,NC1:C:C:C(S(=O)(=O)NCC2:C:C:C:C:C:2):C:C:1
,,,,,,,0,,0,,,NC1:C:C:C(S(N)(=O)=O):C:C:1
,,,,,,,0,,0,,,NC1:C:C:N:C:C:1
,,,,,,,0,,0,,,COC(=O)CCCCC(CCSS/C(CCO)=C(\C)N(C=O)CC1:C:N:C(C):N:C:1N)SC(C)=O
,,,,,,,0,,0,,,CC1:N:C:C(CNC(=O)N(CCCl)N=O):C(N):N:1
,,,,,,,0,,0,,,NC1:N:C(N):N:C(C2:C:C(Cl):C:C:C:2Cl):N:1.O=C(O)/C=C\C(=O)O
,,,,,,,0,,1,,,NC1:N:C:N:C2:[NH]:C:N:C:1:2
,,,,,,,0,,0,,,NC1:N:C2:C(:N:C:N:2COCCO):C(=O):[NH]:1
,,,,,,,0,,0,,,C/C(=C(\CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(/C)N(C=O)CC1:C:N:C(C):N:C:1N)N(C=O)CC1:C:N:C(C):N:C:1N
,,,,,,,0,,0,,,CC(=C(CCOP(=O)(O)O)SC(=O)C1:C:C:C:C:C:1)N(C=O)CC1:C:N:C(C):N:C:1N
,,,,,,,0,,0,,,COC1:C:C2:N:C(Cl):N:C(N):C:2:C:C:1OC
,,,,,,,0,,0,,,COC1:C:C(CC2:C:N:C(N):N:C:2N):C:C(OC):C:1OC
,,,,,,,0,,0,,,COC1:C:C(C):C(CC2:C:N:C(N):N:C:2N):C:C:1OC
,,,,,,,0,,0,,,COC1:C:C:C(CC2:C:N:C(N):N:C:2N):C:C:1OC
,,,,,,,0,,0,,,NC1:N:N:N:N:1C1:C:C:C:C:C:1
,,,,,,,0,,0,,,C=CCN1:C(=O):N([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O):C2:N:C(N):[NH]:C(=O):C:2:1
,,,,,,,1,,0,,,NC1:N:C(F):N:C2:C:1:N:C:N:2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
,,,,,,,0,,0,,,COC1:N:C(N):N:C2:C:1:N:C:N:2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
,,,,,,,0,,0,,,NC1:N:C:N:C2:C:1:N:C:N:2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
,,,,,,,0,,0,,,NC1:N:C:N:C2:C:1:N:C:N:2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O
,,,,,,,0,,0,,,NCC(=O)O
,,,,,,,0,,0,,,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
,,,,,,,0,,0,,,NCC1(CC(=O)O)CCCCC1
,,,,,,,0,,0,,,CCN1CCCC1CN
,,,,,,,0,,0,,,NCC1:C:C:C:N:C:1
,,,,,,,0,,0,,,NCC1:C:C:C:C:C:1SC1:C:C:C:C:C:1CO
,,,,,,,0,,0,,,C[C@@H]1NC(=O)[C@@H](N)CNC(=O)[C@H]([C@@H]2CCNC(N)=N2)NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC1=O
,,,,,,,0,,0,,,NCCC1:C:N:C:[NH]:1
,,,,,,,0,,0,,,NCCCCCC(=O)O
,,,,,,,0,,0,,,NCCNCCNCCN
,,,,,,,0,,0,,,NCCS(=O)(=O)O
,,,,,,,0,,0,,,NNC1:N:N:C(NN):C2:C:C:C:C:C:1:2
,,,,,,,0,,0,,,CC1CC2:C:C:C:C:C:2N1NC(=O)C1:C:C:C(Cl):C(S(N)(=O)=O):C:1
,,,,,,,0,,0,,,NS(=O)(=O)C1:C:C(C(=O)NN2C[C@H]3[C@H]4CCC(C4)[C@H]3C2):C:C:C:1Cl
,,,,,,,0,,0,,,CCN[C@H]1CN(CCCOC)S(=O)(=O)C2:S:C(S(N)(=O)=O):C:C:21
,,,,,,,0,,0,,,CC1:C:C:C:C:C:1N1C(=O)C2:C:C(S(N)(=O)=O):C(Cl):C:C:2NC1C
,,,,,,,0,,0,,,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)CN(C1CCCCC1)C2=O
,,,,,,,0,,0,,,CCC1NC(=O)C2:C:C(S(N)(=O)=O):C(Cl):C:C:2N1
,,,,,,,1,,0,,,COC1:C:C:C(C2:C:C(C(F)F):N:N:2C2:C:C:C(S(N)(=O)=O):C:C:2):C:C:1F
,,,,,,,0,,0,,,NS(=O)(=O)C1:C:C(C(=O)O):C(NCC2:C:C:C:O:2):C:C:1Cl
,,,,,,,1,,0,,,NS(=O)(=O)C1:C:C(C2:N:N:N:[NH]:2):C(NCC2:C:C:C:S:2):C:C:1Cl
,,,,,,,0,,0,,,CC1:C:C2:C(:C:C:1S(N)(=O)=O)S(=O)(=O)CCC2
,,,,,,,1,,0,,,CN1C(CCl)NC2:C:C(Cl):C(S(N)(=O)=O):C:C:2S1(=O)=O
,,,,,,,0,,0,,,CCC1NC2:C:C(Cl):C(S(N)(=O)=O):C:C:2S(=O)(=O)N1
,,,,,,,0,,0,,,C=CCSCC1NC2:C:C(Cl):C(S(N)(=O)=O):C:C:2S(=O)(=O)N1
,,,,,,,0,,0,,,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NCNS2(=O)=O
,,,,,,,0,,0,,,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)N=C(CSCC1:C:C:C:C:C:1)NS2(=O)=O
,,,,,,,0,,0,,,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NC(CC1CCCC1)NS2(=O)=O
,,,,,,,0,,0,,,NS(=O)(=O)C1:C:C2:C(:C:C:1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
,,,,,,,0,,0,,,NS(=O)(=O)CC1:N:O:C2:C:C:C:C:C:1:2
,,,,,,,0,,0,,,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
,,,,,,,0,,0,,,C1:C:C:C(C2CC2):C(OCC2=NCCN2):C:1
,,,,,,,0,,0,,,CC(N/C(=N\C#N)NC1:C:C:N:C:C:1)C(C)(C)C.O
,,,,,,,0,,0,,,CS(=O)(=O)O.C[C@H]1NCC2:C:C(C3:C:C:C4:C(=O):C(C(=O)O):C:N(C5CC5):C:4:C:3OC(F)F):C:C:C:21.O
,,,,,,,0,,0,,,C[C@](N)(CC1:C:C:C(O):C(O):C:1)C(=O)O.C[C@](N)(CC1:C:C:C(O):C(O):C:1)C(=O)O.O.O.O
,,,,,,,0,,0,,,CC(=O)NC1:C(I):C(NC(C)=O):C(I):C(C(=O)O):C:1I.O.O
,,,,,,,0,,0,,,O.O=C(O)[C@H]1[C@@H](O)CC[C@H]2CN3CCC4:C(:[NH]:C5:C:C:C:C:C:4:5)[C@@H]3C[C@@H]21
,,,,,,,0,,0,,,O.O=P1(N(CCCl)CCCl)NCCCO1
,,,,,,,0,,0,,,CC1:N:C:C(COP(=O)(O)O):C(C=O):C:1O.O
,,,,,,,0,,0,,,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C(Cl)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO.O
,,,,,,,0,,0,,,COC1:C:C:C:C([C@@]2(O)CCCC[C@@H]2CN(C)C):C:1
,,,,,,,0,,0,,,CC(=O)N[C@@H]1[C@@H](NC(=N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
,,,,,,,0,,0,,,O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O
,,,,,,,0,,0,,,CCCCCCC(=O)CCCCCC/C=C/C[C@@H](O)[C@H](O)[C@@](N)(CO)C(=O)O
,,,,,,,0,,0,,,O=C(O)[C@H](O)C1:C:C:C:C:C:1
,,,,,,,0,,0,,,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
,,,,,,,0,,0,,,CC(=O)N1C[C@H](O)C[C@H]1C(=O)O
,,,,,,,0,,0,,,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
,,,,,,,0,,0,,,C[C@@H](C1:N:C:N:C:C:1F)[C@](O)(CN1:C:N:C:N:1)C1:C:C:C(F):C:C:1F
,,,,,,,0,,0,,,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
,,,,,,,0,,0,,,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
,,,,,,,0,,0,,,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
,,,,,,,0,,0,,,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO
,,,,,,,0,,0,,,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12
,,,,,,,0,,0,,,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12
,,,,,,,0,,0,,,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12
,,,,,,,0,,0,,,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12
,,,,,,,0,,0,,,C[C@H](N)[C@H](O)C1:C:C:C:C(O):C:1.O=C(O)[C@@H](O)[C@@H](O)C(=O)O
,,,,,,,0,,0,,,[O-][N+]1:C:C:C:C(/C(Cl)=N/OC[C@H](O)CN2CCCCC2):C:1
,,,,,,,0,,0,,,CC(C)(C)NC(=O)[C@@H]1CN(CC2:C:C:C:N:C:2)CCN1C[C@@H](O)C[C@@H](CC1:C:C:C:C:C:1)C(=O)N[C@H]1C2:C:C:C:C:C:2C[C@H]1O.O=S(=O)(O)O
,,,,,,,0,,0,,,CC(C)(C)NC[C@H](O)COC1:N:S:N:C:1N1CCOCC1
,,,,,,,1,,0,,,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O
,,,,,,,0,,0,,,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl
,,,,,,,0,,0,,,O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12
